Date,Title,Location,Time,Description,Category,Audience
"Wednesday July 1, 2026",Fun to Play for Preschoolers,CLARK COUNTY LIBRARY,11:00am - 12:00pm,This 6-week program promotes children's school readiness skills and introduces the Nevada Pre-Kindergarten standards.,Education & Literacy,"Preschoolers, Adults"
"Wednesday July 1, 2026",Preschool Storytime,SAHARA WEST LIBRARY,11:15am - 11:45am,"Build your child's early literacy skills and help them develop a love for books with stories, songs, and more!",Education & Literacy • Storytime,"Preschoolers, Kids REGISTERED EVENT"
"Wednesday July 1, 2026",Book Club,INDIAN SPRINGS LIBRARY,11:15am - 1:00pm,"Pick up a copy of our current read, then join fellow literary lovers for a fun discussion. This meeting's book title is: Frozen River by Ariel Lawhon.","Books, Poetry & Writing • Education & Literacy",Adults
"Wednesday July 1, 2026",Preschool Storytime,CENTENNIAL HILLS LIBRARY,11:30am - 12:00pm,"This storytime is for all children between the ages of 3-5 & their parents. Families will enjoy books, songs, rhymes, & movement activities while building language & literacy skills. Space is limited.",Storytime,Preschoolers Page 3 of 193 --footer-line
"Wednesday July 1, 2026",Makers Studio,SUMMERLIN LIBRARY,11:30am - 2:30pm,Get creative at the Makers Studio!,"Arts, Crafts & Hobbies","Seniors, Adults CANCELLED EVENT REGISTERED EVENT"
"Wednesday July 1, 2026",Device Advice,WHITNEY LIBRARY,11:30am - 12:30pm,Having trouble with one of your mobile electronic devices? Meet one-on-one with our computer lab assistants who will help you better understand & use the latest technology.,Computers & Technology,"Seniors, Adults"
"Wednesday July 1, 2026",Baby Storyime,WINDMILL LIBRARY,11:30am - 12:00pm,Includes book-sharing time and language- enrichment activities such as interactive songs.,Storytime,Babies
"Wednesday July 1, 2026",Pokémon Homeschool Meet Up,SUNRISE LIBRARY,11:30am - 1:30pm,Attention Pokémon Trainers! Bring your cards and prepare to battle. Play the trading card game with your friends This program is intended for kids and teens.,"Arts, Crafts & Hobbies • Community Events • Games","Tweens, Teens, Kids"
"Wednesday July 1, 2026",Toddler Storytime,SUMMERLIN LIBRARY,11:30am - 12:00pm,"In this storytime, we will enjoy books, songs, rhymes, and movement activities while building language and literacy skills.",Storytime,Toddlers
"Wednesday July 1, 2026",Toddler Storytime,SPRING VALLEY LIBRARY,11:30am - 12:00pm,"Children ages 18 to 36 months and their caregivers are invited to participate as we share songs, rhymes, and stories!",Storytime,Toddlers
"Wednesday July 1, 2026",Meet Up and Eat Up,INDIAN SPRINGS LIBRARY,11:30am - 1:30pm,Join the Indian Springs Library for free meals for children ages 3-18. Food is provided by Three Square Food Bank.,Community Events • Health & Wellness,"Tweens, Toddlers, Teens, Preschoolers, Kids, Babies"
"Wednesday July 1, 2026",Breastfeeding Support Group,MOAPA VALLEY LIBRARY,11:30am - 12:00pm,Join our partners from the Nevada Breastfeeding Coilition who provide support and care for new mothers.,Health & Wellness,"Babies, Adults"
"Wednesday July 1, 2026",Teen Zone,SPRING VALLEY LIBRARY,12:00pm - 5:00pm,"Teens ages 12-17 or grades 6-12 are invited to play games, watch movies, or be creative while hanging out with friends.","Arts, Crafts & Hobbies • Games","Tweens, Teens"
"Wednesday July 1, 2026",Meet Up and Eat Up,CLARK COUNTY LIBRARY,12:00pm - 2:00pm,Join Clark County Library Library in the children's area for free meals for children ages 2-18. Food is provided by Three Square Food Bank.,Community Events • Health & Wellness,"Tweens, Toddlers, Teens, Preschoolers, Kids, Babies Page 4 of 193 --footer-line"
"Wednesday July 1, 2026",Drop in STEAM,BLUE DIAMOND LIBRARY,12:00pm - 4:30pm,"Do you remember Shrinky Dinks? Stop by and make some Shrinky Dinks for earrings, keychains, neckless, or even to hang in your window!","Arts, Crafts & Hobbies • STEAM","Tweens, Teens, Seniors, Kids, Adults"
"Wednesday July 1, 2026",Meet Up and Eat Up,RAINBOW LIBRARY,12:00pm - 2:00pm,Join Rainbow Library in the children's area for free meals for children under the age of 18. Food is provided by Three Square Food Bank.,Community Events • Health & Wellness,"Tweens, Toddlers, Teens, Preschoolers, Kids, Babies"
"Wednesday July 1, 2026",Book Sale,BLUE DIAMOND LIBRARY,12:00pm - 4:30pm,Shop our annual Library District Foundation Summer Challenge Book Sale to enjoy unbeatable deals! All items in the bookstore are $.25.,Community Events,"Tweens, Toddlers, Teens, Seniors, Preschoolers, Kids, Babies, Adults"
"Wednesday July 1, 2026",Take and Make,BLUE DIAMOND LIBRARY,12:00pm - 4:30pm,"Need something to do this summer? Come pick up this kit which includes hiking and walking best practices, spending time outside, places to visit, types of flora and fauna outside, and more!",Education & Literacy • Environment & Nature • Health & Wellness,"Tweens, Toddlers, Teens, Preschoolers, Kids, Adults"
"Wednesday July 1, 2026",Intro to Nevada 988,SAHARA WEST LIBRARY,12:00pm - 12:40pm,"Join us for this overview of Nevada 988, the state's behavioral health crisis response system.",Health & Wellness,Adults
"Wednesday July 1, 2026",Meet Up and Eat Up,SPRING VALLEY LIBRARY,12:30pm - 2:30pm,Join Spring Valley Library in the children's area for free meals for children ages 3-18. Food is provided by Three Square Food Bank.,Community Events • Health & Wellness,"Tweens, Toddlers, Teens, Preschoolers, Kids"
"Wednesday July 1, 2026",Meet Up and Eat Up,CENTENNIAL HILLS LIBRARY,12:30pm - 2:00pm,Join Centennial Hills Library in the Bookstore & Vending area for free meals for children ages 3- 18. Food is provided by Three Square Food Bank.,Community Events • Health & Wellness,"Tweens, Teens, Preschoolers, Kids"
"Wednesday July 1, 2026",Write by Red Rock,BLUE DIAMOND LIBRARY,12:30pm - 2:00pm,Looking for a writing group? Author Marijke McCandless will facilitate a freewriting class for all levels of writing.,"Books, Poetry & Writing • Education & Literacy","Seniors, Adults"
"Wednesday July 1, 2026",Kids' Fiber Arts Club,WEST LAS VEGAS LIBRARY,1:00pm - 2:00pm,Children in grades K-5 are invited to explore the world of fiber arts.,"Arts, Crafts & Hobbies",Kids
"Wednesday July 1, 2026",Money Smart with Chase,CLARK COUNTY LIBRARY,1:00pm - 2:00pm,"By taking proactive steps to manage your investments, planning ahead and regularly reviewing your financial situation, you can work towards securing and enjoying a comfortable retirement.","Business, Career, & Finance • Community Events • Lectures & Conversations","Seniors, Adults Page 5 of 193 --footer-line"
"Wednesday July 1, 2026",Beginner Art Journaling,MT. CHARLESTON LIBRARY,1:00pm - 3:00pm,"Enjoy a couple hours of self-care time with our art journaling workshop! All skill levels welcome, beginners especially!","Arts, Crafts & Hobbies","Seniors, Adults"
"Wednesday July 1, 2026",Teen Chill Zone,WEST LAS VEGAS LIBRARY,1:00pm - 5:00pm,"Teens in grades 6-12 are invited to take a break and relax with board games, puzzles, coloring, and more in our Teen Zone.",Entertainment & Theater • Games,Teens
"Wednesday July 1, 2026",Teen Zine,INDIAN SPRINGS LIBRARY,1:00pm - 3:00pm,"What is a zine? Join us for chats about zines, zine culture, and, of course, making your own! We'll focus on 8-page, smaller zines to get everyone started and create a space for our local zines!","Arts, Crafts & Hobbies • Books, Poetry & Writing","Tweens, Teens REGISTERED EVENT English as a Second Language (ESL)"
"Wednesday July 1, 2026",testing for classes,CLARK COUNTY LIBRARY,1:30pm - 4:00pm,ESL testing to place students in classes in July,Education & Literacy,Adults REGISTERED EVENT English as a Second Language (ESL)
"Wednesday July 1, 2026",testing for classes,CLARK COUNTY LIBRARY,1:30pm - 4:00pm,ESL testing to place students in classes in July,Education & Literacy,Adults REGISTERED EVENT English as a Second Language (ESL)
"Wednesday July 1, 2026",testing for classes,CLARK COUNTY LIBRARY,1:30pm - 4:00pm,ESL testing to place students in classes in July,Education & Literacy,Adults
"Wednesday July 1, 2026",Intro to Nevada 988,SAHARA WEST LIBRARY,1:30pm - 2:10pm,"Join us for this overview of Nevada 988, the state's behavioral health crisis response system.",Health & Wellness,Adults
"Wednesday July 1, 2026",Plant Trimming Swap,MEADOWS LIBRARY,2:00pm - 4:00pm,Bring in a houseplant trimming to exchange. No registration required. Just stop by and swap!,"Arts, Crafts & Hobbies","Teens, Seniors, Adults"
"Wednesday July 1, 2026",Meet Up and Eat Up,WEST LAS VEGAS LIBRARY,2:00pm - 4:00pm,Join West Las Vegas Library in the children's area for free meals for children ages 2-18. Food is provided by Three Square Food Bank.,Community Events • Health & Wellness,"Tweens, Toddlers, Teens, Preschoolers, Kids, Babies"
"Wednesday July 1, 2026",Summer Perler Bead Club,MESQUITE LIBRARY,2:30pm - 3:30pm,Fuse your imagination! Each week we'll have a fun new challenge. All materials provided. For ages 6 yrs. and up.,"Arts, Crafts & Hobbies • STEAM","Tweens, Teens, Kids"
"Wednesday July 1, 2026",Meet Up to Eat Up,WHITNEY LIBRARY,2:30pm - 4:30pm,Join Whitney Library in the children's area for free meals for children ages 2-18. Food is provided by Three Square Food Bank.,Community Events,"Tweens, Toddlers, Teens, Preschoolers, Kids Page 6 of 193 --footer-line"
"Wednesday July 1, 2026",Computer Class,SANDY VALLEY LIBRARY,3:00pm - 4:00pm,"Every Wednesday. Adults and Seniors welcome! Free and open to the public. Learn to use basic hardware & software commonly found on computers, to help you navigate them with ease!",Community Events • Computers & Technology • Education & Literacy,"Seniors, Adults"
"Wednesday July 1, 2026",Meet Up and Eat Up,ENTERPRISE LIBRARY,3:00pm - 5:00pm,Join Enterprise Library in the children's area for free meals for children ages 3-18. Food is provided by Three Square Food Bank.,Community Events • Health & Wellness,"Tweens, Toddlers, Teens, Preschoolers, Kids, Babies"
"Wednesday July 1, 2026",Teen Zone,SPRING VALLEY LIBRARY,3:00pm - 5:00pm,"Teens in grades 6-12 are invited to join us for a summer-themed painting project. Afterwards, enjoy a refreshing popsicle to reward your creativity!","Arts, Crafts & Hobbies",Teens
"Wednesday July 1, 2026",Arts & Crafts: Perler Bead Charms,WEST CHARLESTON LIBRARY,3:30pm - 4:30pm,Join us in making some Perler bead charms and crafts! This program is intended for Teens ages 12-17.,"Arts, Crafts & Hobbies",Teens
"Wednesday July 1, 2026",Adult Game Retreat,INDIAN SPRINGS LIBRARY,3:30pm - 5:00pm,"While the kids are away, the adults can come play! Bring your own game or play one of ours, but come enjoy our air conditioned space and big tables for some board- and card games!",Games,Adults
"Wednesday July 1, 2026",Chess Club,WEST LAS VEGAS LIBRARY,4:00pm - 7:00pm,Come learn and play chess!,"Arts, Crafts & Hobbies • Games","Tweens, Teens, Adults REGISTERED EVENT"
"Wednesday July 1, 2026",Intro to Video Production,ENTERPRISE LIBRARY,4:00pm - 5:00pm,Learn the basics of operating video production equipment and learn how to utilize our creative spaces.,"Arts, Crafts & Hobbies • Computers & Technology • Entertainment & Theater","Seniors, Adults"
"Wednesday July 1, 2026",LEGO Club,SPRING VALLEY LIBRARY,4:00pm - 5:00pm,"Kids in grades K-5 are invited to join us for LEGO Club! We'll share the theme of the month, then build projects inspired by that theme.","Arts, Crafts & Hobbies • STEAM","Tweens, Kids"
"Wednesday July 1, 2026",Teen Game Night,SAHARA WEST LIBRARY,4:00pm - 5:30pm,Play games with other teens!,Games,Teens Page 7 of 193 --footer-line
"Wednesday July 1, 2026",Summer Tutoring,ENTERPRISE LIBRARY,4:00pm - 6:00pm,"Enterprise Library is offering free summer tutoring services for youth in grades K-12. Our tutor can assist with Reading, Writing, and Math!",Education & Literacy,"Tweens, Teens, Kids CANCELLED EVENT"
"Wednesday July 1, 2026",DUPLO Family Storytime,RAINBOW LIBRARY,4:30pm - 5:15pm,"At Family Storytime we read stories, sing songs, and move our bodies. Then we will build creations with LEGO DUPLO bricks inspired by our theme. Families with children of all ages are welcome.",Education & Literacy • Games • STEAM • Storytime,"Tweens, Toddlers, Preschoolers, Kids, Babies"
"Wednesday July 1, 2026",LEGO League,WINDMILL LIBRARY,4:30pm - 5:30pm,Use Your Imagination to make your own creation out of LEGOs or DUPLOs based on our monthly theme.,STEAM,Kids REGISTERED EVENT
"Wednesday July 1, 2026",Cryptid Club,SUMMERLIN LIBRARY,4:30pm - 5:30pm,Learn how some famous folk tales got their origin. Then create your own sculptural cryptid using a variety of art supplies.,"Arts, Crafts & Hobbies • STEAM",Kids
"Wednesday July 1, 2026",Meet Up and Eat Up,EAST LAS VEGAS LIBRARY,4:30pm - 5:30pm,Join East Las Vegas Library in the children's area for free meals for children ages 3-18. Food is provided by Three Square Food Bank.,Community Events • Health & Wellness,"Tweens, Toddlers, Teens, Preschoolers, Kids, Babies"
"Wednesday July 1, 2026",Fun in the Sun Craft Buffet,SAHARA WEST LIBRARY,4:30pm - 5:30pm,Chat and craft with other kids at the library!,"Arts, Crafts & Hobbies",Kids
"Wednesday July 1, 2026",Dear Steve,CENTENNIAL HILLS LIBRARY,4:30pm - 5:15pm,"Do you love Minecraft? Do you still love singing along to ""Lava Chicken?"" Let's read a story about Steve and write a letter to our beloved Minecraft protagonist! Grades K-5.",Storytime,Kids
"Wednesday July 1, 2026",Fiber Arts Lounge,SUNRISE LIBRARY,5:00pm - 6:00pm,"Calling all knitters, crocheters, and makers! Join us for a relaxed meet up for fiber arts enthusiasts. Bring your own project, meet like- minded folks, and find inspiration!","Arts, Crafts & Hobbies","Teens, Adults"
"Wednesday July 1, 2026",Drop in STEAM,BLUE DIAMOND LIBRARY,5:00pm - 6:00pm,"Do you remember Shrinky Dinks? Stop by and make some Shrinky Dinks for earrings, keychains, neckless, or even to hang in your window!","Arts, Crafts & Hobbies • STEAM","Tweens, Teens, Seniors, Kids, Adults Page 8 of 193 --footer-line"
"Wednesday July 1, 2026",Book Sale,BLUE DIAMOND LIBRARY,5:00pm - 7:00pm,Shop our annual Library District Foundation Summer Challenge Book Sale to enjoy unbeatable deals! All items in the bookstore are $.25.,Community Events,"Tweens, Toddlers, Teens, Seniors, Preschoolers, Kids, Babies, Adults"
"Wednesday July 1, 2026",Bingo,LAUGHLIN LIBRARY,5:00pm - 6:00pm,Join us for a fun and lively game and bingo!,Games,"Tweens, Teens, Seniors, Kids, Adults"
"Wednesday July 1, 2026",Take and Make,BLUE DIAMOND LIBRARY,5:00pm - 7:00pm,"Need something to do this summer? Come pick up this kit which includes hiking and walking best practices, spending time outside, places to visit, types of flora and fauna outside, and more!",Education & Literacy • Environment & Nature • Health & Wellness,"Tweens, Toddlers, Teens, Preschoolers, Kids, Adults REGISTERED EVENT"
"Wednesday July 1, 2026",Introducción al podcasting,EAST LAS VEGAS LIBRARY,6:00pm - 6:45pm,Aprenda los conceptos básicos de podcasting y obtenga acceso a nuestros espacios de podcasting en East Las Vegas Library. Clase en español.,"Arts, Crafts & Hobbies • Computers & Technology • Entertainment & Theater","Teens, Seniors, Adults"
"Wednesday July 1, 2026",Red Rock Citizen's Advisory Council,BLUE DIAMOND LIBRARY,7:00pm - 8:00pm,The RRCAC will have a meeting at 7pm. Please call the Clark County office if you have questions.,Community Events,"Seniors, Adults"
"Wednesday July 1, 2026",Quartet Elegancia,WINDMILL LIBRARY,7:00pm - 8:30pm,Help us celebrate America's 250th anniversary with this first of three concerts.,Entertainment & Theater,Adults
"Thursday July 2, 2026",Classes,SPRING VALLEY LIBRARY,12:00am - 11:59pm,"We are starting a new round of ESL classes at the Spring Valley Library! Before registering for Adult Learning Program ESL classes, all new students must complete a placement test.",Education & Literacy,Adults Pre-Testing For Sahara West ESL
"Thursday July 2, 2026",Classes,SAHARA WEST LIBRARY,12:00am - 11:59pm,"We are starting a new round of ESL classes at the Sahara West Library! Before registering for Adult Learning Program ESL classes, all new students must complete a placement test.",Education & Literacy,Adults
"Thursday July 2, 2026",Scavenger Hunt,RAINBOW LIBRARY,10:00am - 7:45pm,How good are you at finding things? Come to the kids' area in Rainbow Library at any time of the day to have fun testing your observation skills with our popular scavenger hunt!,Games,"Tweens, Toddlers, Teens, Preschoolers, Kids, Babies Page 9 of 193 --footer-line"
"Thursday July 2, 2026",Pre-K Packet to Go,SPRING VALLEY LIBRARY,10:00am - 8:00pm,Come in and pick up a pre-k packet for your little one to work on at home. While supplies last.,"Arts, Crafts & Hobbies",Preschoolers
"Thursday July 2, 2026",Scavenger Hunt,ENTERPRISE LIBRARY,10:00am - 8:00pm,Join us at Enterprise Library for our Looking for a Legend Scavenger Hunt! An exciting adventure designed to spark kids' love for books! For youth ages 3 to 17 years old.,Community Events,"Tweens, Toddlers, Teens, Preschoolers, Kids"
"Thursday July 2, 2026",Baby Storytime,CENTENNIAL HILLS LIBRARY,10:30am - 11:00am,"This storytime is for all children ages 0-18 months & their parents. Families will enjoy books, songs, rhymes, & movement activities while building language & literacy skills. Space is limited.",Storytime,Babies
"Thursday July 2, 2026",Five & Under Storytime,WINDMILL LIBRARY,10:30am - 11:00am,"Families will enjoy books, songs, rhymes, and movement activities while building language and literacy skills.",Storytime,"Toddlers, Preschoolers, Kids, Babies"
"Thursday July 2, 2026",Baby Storytime,SAHARA WEST LIBRARY,10:30am - 11:15am,"Babies enjoy songs, nursery rhymes, and finger plays with their favorite adult!",Education & Literacy • Storytime,"Kids, Babies RESCHEDULED TO THURSDAY, JULY 02 2026 Clark County CARES at West Las"
"Thursday July 2, 2026",Vegas Library,WEST LAS VEGAS LIBRARY,10:30am - 1:00pm,Social Services at the West Las Vegas Library,Community Events • Education & Literacy • Health & Wellness,"Teens, Seniors, Adults Mobile Showers at East Las Vegas"
"Thursday July 2, 2026",Library,EAST LAS VEGAS LIBRARY,10:30am - 12:30pm,Free Hot Showers in Partnership with Clean the World,Health & Wellness,"Seniors, Adults I Heart Whitney Fresh Start Mobile"
"Thursday July 2, 2026",Shower,WHITNEY LIBRARY,10:30am - 1:30pm,"Private shower stalls for unhoused individuals wanting time to refresh themselves. The ""Fresh Start Wash and Wellness"" trailer's shower stalls include a toilet, sink, and a shower.",Community Events,"Seniors, Adults"
"Thursday July 2, 2026",Five and Under Storytime,SUNRISE LIBRARY,10:30am - 11:00am,"Families will enjoy books, songs, rhymes, and movement activities while building language and literacy skills. This program is for all children under the age of 5 and their caregivers.",Education & Literacy • Storytime,"Toddlers, Preschoolers, Babies"
"Thursday July 2, 2026",Toddler Storytime,WEST CHARLESTON LIBRARY,10:30am - 11:00am,"Children ages 18-36 months and parents will have fun as we share songs, rhymes, and stories.",Storytime,Toddlers Page 10 of 193 --footer-line
"Thursday July 2, 2026",Beginning ESL Workshop,SPRING VALLEY LIBRARY,10:30am - 12:30pm,Come learn and practice your English skills at a Low Beginning level.,Education & Literacy,Adults Say It! Read and Pronounce in
"Thursday July 2, 2026",English,EAST LAS VEGAS LIBRARY,10:30am - 12:30pm,Come practice reading and pronouncing words in English for Beginning and Intermediate ESL Adult levels. Located in ALP Classroom 115,Education & Literacy • Lectures & Conversations,Adults
"Thursday July 2, 2026",Digital Literacy for Adults,WEST LAS VEGAS LIBRARY,10:30am - 12:30pm,Adults of all experience levels who want to strengthen their digital literacy and technology confidence.,Computers & Technology • Education & Literacy,"Seniors, Adults"
"Thursday July 2, 2026",Community Care Pop-Up,EAST LAS VEGAS LIBRARY,10:30am - 11:30am,"Visit the library to connect with the Toni's House Street Team as they provide free wound-care supplies, essential hygiene items, and other helpful goods while supplies last.",Community Events • Health & Wellness,Adults
"Thursday July 2, 2026",Basic Computer Skills,CLARK COUNTY LIBRARY,10:30am - 12:30pm,Adults will learn computer skills and typing.,Computers & Technology • Education & Literacy,Adults REGISTERED EVENT Yoga at the Library - Adult Chair
"Thursday July 2, 2026",Yoga,RAINBOW LIBRARY,10:45am - 11:45am,Join us for this free yoga class in partnership with Yoga for Life Las Vegas.,Health & Wellness,"Teens, Seniors, Adults Three Square Senior Community"
"Thursday July 2, 2026",Lunch & Social Hour,EAST LAS VEGAS LIBRARY,11:00am - 1:00pm,"Join us for lunch and fun activities for seniors 60 and over. Meals are on a first come, first served basis, while supplies last.",Community Events • Health & Wellness,Seniors Clark County CARES at West Las
"Thursday July 2, 2026",Vegas Library,WEST LAS VEGAS LIBRARY,11:00am - 1:00pm,Social Services at the West Las Vegas Library,Community Events • Education & Literacy • Health & Wellness,"Teens, Seniors, Adults"
"Thursday July 2, 2026",Toddler Time,ENTERPRISE LIBRARY,11:00am - 11:30am,"Enjoy Toddler Time, brought directly to you by our expert children's staff as they read beloved books, sing songs, and share early literacy tips. Ages 18 - 36 months.",Storytime,Toddlers
"Thursday July 2, 2026",Sing & Sway Thursday!,RAINBOW LIBRARY,11:00am - 11:30am,"Have fun learning through music and dancing! Kids will use colorful scarves and shaker eggs, participate in a sing-along, and enjoy an interactive book reading in this energetic and engaging program.",Storytime,"Toddlers, Preschoolers, Kids, Babies Page 11 of 193 --footer-line"
"Thursday July 2, 2026",Toddler Storytime,EAST LAS VEGAS LIBRARY,11:00am - 11:30am,"Children ages 18 to 36 months and parents will participate as we share songs, rhymes, and stories.",Storytime,Toddlers
"Thursday July 2, 2026",Meet Up and Eat Up,SUNRISE LIBRARY,11:00am - 1:00pm,Join Sunrise Library in the children's area for free meals for children ages 2-18. Food is provided by Three Square Food Bank.,Community Events • Health & Wellness,"Tweens, Toddlers, Teens, Preschoolers, Kids, Babies"
"Thursday July 2, 2026",A Guide to Social-Emotional Learning,WEST LAS VEGAS LIBRARY,11:00am - 12:00pm,This workshop is designed to introduce parents/caregivers to the keys of social and emotional learning (SEL),Education & Literacy,"Tweens, Teens, Preschoolers, Kids, Adults"
"Thursday July 2, 2026",Drop in STEAM,BLUE DIAMOND LIBRARY,11:00am - 1:30pm,"Do you remember Shrinky Dinks? Stop by and make some Shrinky Dinks for earrings, keychains, neckless, or even to hang in your window!","Arts, Crafts & Hobbies • STEAM","Tweens, Teens, Seniors, Kids, Adults"
"Thursday July 2, 2026",Book Sale,BLUE DIAMOND LIBRARY,11:00am - 1:30pm,Shop our annual Library District Foundation Summer Challenge Book Sale to enjoy unbeatable deals! All items in the bookstore are $.25.,Community Events,"Tweens, Toddlers, Teens, Seniors, Preschoolers, Kids, Babies, Adults"
"Thursday July 2, 2026",Summer STEAM,MOAPA VALLEY LIBRARY,11:00am - 12:00pm,"Explore the fascinating world of science at Summer STEAM! Unleash your creativity, learn design, and develop real-world problem-solving skills; all while having fun!",STEAM,Kids
